time_from_recovery_onset_s,stress_Pa,strain_frac
1.849000000000000000e+03,3.360000000000000000e+06,4.104892747243735901e-02
1.850000000000000000e+03,3.360000000000000000e+06,4.104769470679500015e-02
1.851000000000000000e+03,3.360000000000000000e+06,4.104646260733242624e-02
1.852000000000000000e+03,3.360000000000000000e+06,4.104523117333003929e-02
1.853000000000000000e+03,3.360000000000000000e+06,4.104400040406938621e-02
1.854000000000000000e+03,3.360000000000000000e+06,4.104277029883317968e-02
1.855000000000000000e+03,3.360000000000000000e+06,4.104154085690529807e-02
1.856000000000000000e+03,3.360000000000000000e+06,4.104031207757079247e-02
1.857000000000000000e+03,3.360000000000000000e+06,4.103908396011583110e-02
1.858000000000000000e+03,3.360000000000000000e+06,4.103785650382776873e-02
1.859000000000000000e+03,3.360000000000000000e+06,4.103662970799511200e-02
1.860000000000000000e+03,3.360000000000000000e+06,4.103540357190747778e-02
1.861000000000000000e+03,3.360000000000000000e+06,4.103417809485566947e-02
1.862000000000000000e+03,3.360000000000000000e+06,4.103295327613161458e-02
1.863000000000000000e+03,3.360000000000000000e+06,4.103172911502838555e-02
1.864000000000000000e+03,3.360000000000000000e+06,4.103050561084017889e-02
1.865000000000000000e+03,3.360000000000000000e+06,4.102928276286234993e-02
1.866000000000000000e+03,3.360000000000000000e+06,4.102806057039137810e-02
1.867000000000000000e+03,3.360000000000000000e+06,4.102683903272488081e-02
1.868000000000000000e+03,3.360000000000000000e+06,4.102561814916156485e-02
1.869000000000000000e+03,3.360000000000000000e+06,4.102439791900131666e-02
1.870000000000000000e+03,3.360000000000000000e+06,4.102317834154511900e-02
1.871000000000000000e+03,3.360000000000000000e+06,4.102195941609507873e-02
1.872000000000000000e+03,3.360000000000000000e+06,4.102074114195441296e-02
1.873000000000000000e+03,3.360000000000000000e+06,4.101952351842747674e-02
1.874000000000000000e+03,3.360000000000000000e+06,4.101830654481972149e-02
1.875000000000000000e+03,3.360000000000000000e+06,4.101709022043771580e-02
1.876000000000000000e+03,3.360000000000000000e+06,4.101587454458913151e-02
1.877000000000000000e+03,3.360000000000000000e+06,4.101465951658276460e-02
1.878000000000000000e+03,3.360000000000000000e+06,4.101344513572849348e-02
1.879000000000000000e+03,3.360000000000000000e+06,4.101223140133730682e-02
1.880000000000000000e+03,3.360000000000000000e+06,4.101101831272128961e-02
1.881000000000000000e+03,3.360000000000000000e+06,4.100980586919365095e-02
1.882000000000000000e+03,3.360000000000000000e+06,4.100859407006866159e-02
1.883000000000000000e+03,3.360000000000000000e+06,4.100738291466168861e-02
1.884000000000000000e+03,3.360000000000000000e+06,4.100617240228921628e-02
1.885000000000000000e+03,3.360000000000000000e+06,4.100496253226879051e-02
1.886000000000000000e+03,3.360000000000000000e+06,4.100375330391904660e-02
1.887000000000000000e+03,3.360000000000000000e+06,4.100254471655970928e-02
1.888000000000000000e+03,3.360000000000000000e+06,4.100133676951158573e-02
1.889000000000000000e+03,3.360000000000000000e+06,4.100012946209655867e-02
1.890000000000000000e+03,3.360000000000000000e+06,4.099892279363759329e-02
1.891000000000000000e+03,3.360000000000000000e+06,4.099771676345872334e-02
1.892000000000000000e+03,3.360000000000000000e+06,4.099651137088504427e-02
1.893000000000000000e+03,3.360000000000000000e+06,4.099530661524274783e-02
1.894000000000000000e+03,3.360000000000000000e+06,4.099410249585906663e-02
1.895000000000000000e+03,3.360000000000000000e+06,4.099289901206232267e-02
1.896000000000000000e+03,3.360000000000000000e+06,4.099169616318187187e-02
1.897000000000000000e+03,3.360000000000000000e+06,4.099049394854817341e-02
1.898000000000000000e+03,3.360000000000000000e+06,4.098929236749269261e-02
1.899000000000000000e+03,3.360000000000000000e+06,4.098809141934799116e-02
1.900000000000000000e+03,3.360000000000000000e+06,4.098689110344766462e-02
1.901000000000000000e+03,3.360000000000000000e+06,4.098569141912638408e-02
1.902000000000000000e+03,3.360000000000000000e+06,4.098449236571984067e-02
1.903000000000000000e+03,3.360000000000000000e+06,4.098329394256478020e-02
1.904000000000000000e+03,3.360000000000000000e+06,4.098209614899901709e-02
1.905000000000000000e+03,3.360000000000000000e+06,4.098089898436137885e-02
1.906000000000000000e+03,3.360000000000000000e+06,4.097970244799174766e-02
1.907000000000000000e+03,3.360000000000000000e+06,4.097850653923105352e-02
1.908000000000000000e+03,3.360000000000000000e+06,4.097731125742123948e-02
1.909000000000000000e+03,3.360000000000000000e+06,4.097611660190529637e-02
1.910000000000000000e+03,3.360000000000000000e+06,4.097492257202725585e-02
1.911000000000000000e+03,3.360000000000000000e+06,4.097372916713218349e-02
1.912000000000000000e+03,3.360000000000000000e+06,4.097253638656613017e-02
1.913000000000000000e+03,3.360000000000000000e+06,4.097134422967622230e-02
1.914000000000000000e+03,3.360000000000000000e+06,4.097015269581058550e-02
1.915000000000000000e+03,3.360000000000000000e+06,4.096896178431838620e-02
1.916000000000000000e+03,3.360000000000000000e+06,4.096777149454976924e-02
1.917000000000000000e+03,3.360000000000000000e+06,4.096658182585593416e-02
1.918000000000000000e+03,3.360000000000000000e+06,4.096539277758909359e-02
1.919000000000000000e+03,3.360000000000000000e+06,4.096420434910244546e-02
1.920000000000000000e+03,3.360000000000000000e+06,4.096301653975023549e-02
1.921000000000000000e+03,3.360000000000000000e+06,4.096182934888769472e-02
1.922000000000000000e+03,3.360000000000000000e+06,4.096064277587105340e-02
1.923000000000000000e+03,3.360000000000000000e+06,4.095945682005758953e-02
1.924000000000000000e+03,3.360000000000000000e+06,4.095827148080551094e-02
1.925000000000000000e+03,3.360000000000000000e+06,4.095708675747410099e-02
1.926000000000000000e+03,3.360000000000000000e+06,4.095590264942360059e-02
1.927000000000000000e+03,3.360000000000000000e+06,4.095471915601524987e-02
1.928000000000000000e+03,3.360000000000000000e+06,4.095353627661127427e-02
1.929000000000000000e+03,3.360000000000000000e+06,4.095235401057493313e-02
1.930000000000000000e+03,3.360000000000000000e+06,4.095117235727043642e-02
1.931000000000000000e+03,3.360000000000000000e+06,4.094999131606298637e-02
1.932000000000000000e+03,3.360000000000000000e+06,4.094881088631878441e-02
1.933000000000000000e+03,3.360000000000000000e+06,4.094763106740501035e-02
1.934000000000000000e+03,3.360000000000000000e+06,4.094645185868981546e-02
1.935000000000000000e+03,3.360000000000000000e+06,4.094527325954235714e-02
1.936000000000000000e+03,3.360000000000000000e+06,4.094409526933272953e-02
1.937000000000000000e+03,3.360000000000000000e+06,4.094291788743205374e-02
1.938000000000000000e+03,3.360000000000000000e+06,4.094174111321238069e-02
1.939000000000000000e+03,3.360000000000000000e+06,4.094056494604675356e-02
1.940000000000000000e+03,3.360000000000000000e+06,4.093938938530918698e-02
1.941000000000000000e+03,3.360000000000000000e+06,4.093821443037466701e-02
1.942000000000000000e+03,3.360000000000000000e+06,4.093704008061910954e-02
1.943000000000000000e+03,3.360000000000000000e+06,4.093586633541943659e-02
1.944000000000000000e+03,3.360000000000000000e+06,4.093469319415352775e-02
1.945000000000000000e+03,3.360000000000000000e+06,4.093352065620019936e-02
1.946000000000000000e+03,3.360000000000000000e+06,4.093234872093923227e-02
1.947000000000000000e+03,3.360000000000000000e+06,4.093117738775138570e-02
1.948000000000000000e+03,3.360000000000000000e+06,4.093000665601834870e-02
1.949000000000000000e+03,3.360000000000000000e+06,4.092883652512276788e-02
1.950000000000000000e+03,3.360000000000000000e+06,4.092766699444823353e-02
1.951000000000000000e+03,3.360000000000000000e+06,4.092649806337931434e-02
1.952000000000000000e+03,3.360000000000000000e+06,4.092532973130147411e-02
1.953000000000000000e+03,3.360000000000000000e+06,4.092416199760117584e-02
1.954000000000000000e+03,3.360000000000000000e+06,4.092299486166577766e-02
1.955000000000000000e+03,3.360000000000000000e+06,4.092182832288362299e-02
1.956000000000000000e+03,3.360000000000000000e+06,4.092066238064393652e-02
1.957000000000000000e+03,3.360000000000000000e+06,4.091949703433694907e-02
1.958000000000000000e+03,3.360000000000000000e+06,4.091833228335376577e-02
1.959000000000000000e+03,3.360000000000000000e+06,4.091716812708644929e-02
1.960000000000000000e+03,3.360000000000000000e+06,4.091600456492799909e-02
1.961000000000000000e+03,3.360000000000000000e+06,4.091484159627233747e-02
1.962000000000000000e+03,3.360000000000000000e+06,4.091367922051429573e-02
1.963000000000000000e+03,3.360000000000000000e+06,4.091251743704966970e-02
1.964000000000000000e+03,3.360000000000000000e+06,4.091135624527514336e-02
1.965000000000000000e+03,3.360000000000000000e+06,4.091019564458833746e-02
1.966000000000000000e+03,3.360000000000000000e+06,4.090903563438778867e-02
1.967000000000000000e+03,3.360000000000000000e+06,4.090787621407294961e-02
1.968000000000000000e+03,3.360000000000000000e+06,4.090671738304418881e-02
1.969000000000000000e+03,3.360000000000000000e+06,4.090555914070279075e-02
1.970000000000000000e+03,3.360000000000000000e+06,4.090440148645096280e-02
1.971000000000000000e+03,3.360000000000000000e+06,4.090324441969180047e-02
1.972000000000000000e+03,3.360000000000000000e+06,4.090208793982931523e-02
1.973000000000000000e+03,3.360000000000000000e+06,4.090093204626844142e-02
1.974000000000000000e+03,3.360000000000000000e+06,4.089977673841499461e-02
1.975000000000000000e+03,3.360000000000000000e+06,4.089862201567569938e-02
1.976000000000000000e+03,3.360000000000000000e+06,4.089746787745818929e-02
1.977000000000000000e+03,3.360000000000000000e+06,4.089631432317099302e-02
1.978000000000000000e+03,3.360000000000000000e+06,4.089516135222354132e-02
1.979000000000000000e+03,3.360000000000000000e+06,4.089400896402615310e-02
1.980000000000000000e+03,3.360000000000000000e+06,4.089285715799003545e-02
1.981000000000000000e+03,3.360000000000000000e+06,4.089170593352730448e-02
1.982000000000000000e+03,3.360000000000000000e+06,4.089055529005095752e-02
1.983000000000000000e+03,3.360000000000000000e+06,4.088940522697487312e-02
1.984000000000000000e+03,3.360000000000000000e+06,4.088825574371381805e-02
1.985000000000000000e+03,3.360000000000000000e+06,4.088710683968346110e-02
1.986000000000000000e+03,3.360000000000000000e+06,4.088595851430033845e-02
1.987000000000000000e+03,3.360000000000000000e+06,4.088481076698185362e-02
1.988000000000000000e+03,3.360000000000000000e+06,4.088366359714633996e-02
1.989000000000000000e+03,3.360000000000000000e+06,4.088251700421294960e-02
1.990000000000000000e+03,3.360000000000000000e+06,4.088137098760172977e-02
1.991000000000000000e+03,3.360000000000000000e+06,4.088022554673363673e-02
1.992000000000000000e+03,3.360000000000000000e+06,4.087908068103043857e-02
1.993000000000000000e+03,3.360000000000000000e+06,4.087793638991483319e-02
1.994000000000000000e+03,3.360000000000000000e+06,4.087679267281033035e-02
1.995000000000000000e+03,3.360000000000000000e+06,4.087564952914136268e-02
1.996000000000000000e+03,3.360000000000000000e+06,4.087450695833318853e-02
1.997000000000000000e+03,3.360000000000000000e+06,4.087336495981194751e-02
1.998000000000000000e+03,3.360000000000000000e+06,4.087222353300462574e-02
1.999000000000000000e+03,3.360000000000000000e+06,4.087108267733908368e-02
2.000000000000000000e+03,3.360000000000000000e+06,4.086994239224405606e-02
2.001000000000000000e+03,3.360000000000000000e+06,4.086880267714908949e-02
2.002000000000000000e+03,3.360000000000000000e+06,4.086766353148462566e-02
2.003000000000000000e+03,3.360000000000000000e+06,4.086652495468193202e-02
2.004000000000000000e+03,3.360000000000000000e+06,4.086538694617315726e-02
2.005000000000000000e+03,3.360000000000000000e+06,4.086424950539127576e-02
2.006000000000000000e+03,3.360000000000000000e+06,4.086311263177010850e-02
2.007000000000000000e+03,3.360000000000000000e+06,4.086197632474435071e-02
2.008000000000000000e+03,3.360000000000000000e+06,4.086084058374950950e-02
2.009000000000000000e+03,3.360000000000000000e+06,4.085970540822195241e-02
2.010000000000000000e+03,3.360000000000000000e+06,4.085857079759888655e-02
2.011000000000000000e+03,3.360000000000000000e+06,4.085743675131835867e-02
2.012000000000000000e+03,3.360000000000000000e+06,4.085630326881924124e-02
2.013000000000000000e+03,3.360000000000000000e+06,4.085517034954128102e-02
2.014000000000000000e+03,3.360000000000000000e+06,4.085403799292500193e-02
2.015000000000000000e+03,3.360000000000000000e+06,4.085290619841181609e-02
2.016000000000000000e+03,3.360000000000000000e+06,4.085177496544392661e-02
2.017000000000000000e+03,3.360000000000000000e+06,4.085064429346440401e-02
2.018000000000000000e+03,3.360000000000000000e+06,4.084951418191709593e-02
2.019000000000000000e+03,3.360000000000000000e+06,4.084838463024673127e-02
2.020000000000000000e+03,3.360000000000000000e+06,4.084725563789882996e-02
2.021000000000000000e+03,3.360000000000000000e+06,4.084612720431974459e-02
2.022000000000000000e+03,3.360000000000000000e+06,4.084499932895664653e-02
2.023000000000000000e+03,3.360000000000000000e+06,4.084387201125753986e-02
2.024000000000000000e+03,3.360000000000000000e+06,4.084274525067122658e-02
2.025000000000000000e+03,3.360000000000000000e+06,4.084161904664734138e-02
2.026000000000000000e+03,3.360000000000000000e+06,4.084049339863632389e-02
2.027000000000000000e+03,3.360000000000000000e+06,4.083936830608944635e-02
2.028000000000000000e+03,3.360000000000000000e+06,4.083824376845875126e-02
2.029000000000000000e+03,3.360000000000000000e+06,4.083711978519714153e-02
2.030000000000000000e+03,3.360000000000000000e+06,4.083599635575830417e-02
2.031000000000000000e+03,3.360000000000000000e+06,4.083487347959672414e-02
2.032000000000000000e+03,3.360000000000000000e+06,4.083375115616771217e-02
2.033000000000000000e+03,3.360000000000000000e+06,4.083262938492736999e-02
2.034000000000000000e+03,3.360000000000000000e+06,4.083150816533261118e-02
2.035000000000000000e+03,3.360000000000000000e+06,4.083038749684114038e-02
2.036000000000000000e+03,3.360000000000000000e+06,4.082926737891146018e-02
2.037000000000000000e+03,3.360000000000000000e+06,4.082814781100288504e-02
2.038000000000000000e+03,3.360000000000000000e+06,4.082702879257551348e-02
2.039000000000000000e+03,3.360000000000000000e+06,4.082591032309024898e-02
2.040000000000000000e+03,3.360000000000000000e+06,4.082479240200876519e-02
2.041000000000000000e+03,3.360000000000000000e+06,4.082367502879355459e-02
2.042000000000000000e+03,3.360000000000000000e+06,4.082255820290789372e-02
2.043000000000000000e+03,3.360000000000000000e+06,4.082144192381582243e-02
2.044000000000000000e+03,3.360000000000000000e+06,4.082032619098220627e-02
2.045000000000000000e+03,3.360000000000000000e+06,4.081921100387266715e-02
2.046000000000000000e+03,3.360000000000000000e+06,4.081809636195361801e-02
2.047000000000000000e+03,3.360000000000000000e+06,4.081698226469226976e-02
2.048000000000000000e+03,3.360000000000000000e+06,4.081586871155657575e-02
2.049000000000000000e+03,3.360000000000000000e+06,4.081475570201531511e-02
2.050000000000000000e+03,3.360000000000000000e+06,4.081364323553801632e-02
2.051000000000000000e+03,3.360000000000000000e+06,4.081253131159497810e-02
2.052000000000000000e+03,3.360000000000000000e+06,4.081141992965729715e-02
2.053000000000000000e+03,3.360000000000000000e+06,4.081030908919682648e-02
2.054000000000000000e+03,3.360000000000000000e+06,4.080919878968621017e-02
2.055000000000000000e+03,3.360000000000000000e+06,4.080808903059884168e-02
2.056000000000000000e+03,3.360000000000000000e+06,4.080697981140887776e-02
2.057000000000000000e+03,3.360000000000000000e+06,4.080587113159125923e-02
2.058000000000000000e+03,3.360000000000000000e+06,4.080476299062169715e-02
2.059000000000000000e+03,3.360000000000000000e+06,4.080365538797664504e-02
2.060000000000000000e+03,3.360000000000000000e+06,4.080254832313332664e-02
